R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,R_WRIST_x,R_WRIST_y,R_WRIST_z,L_WRIST_x,L_WRIST_y,L_WRIST_z,R_HIP_x,R_HIP_y,R_HIP_z,L_HIP_x,L_HIP_y,L_HIP_z,R_KNEE_x,R_KNEE_y,R_KNEE_z,L_KNEE_x,L_KNEE_y,L_KNEE_z,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,R_HEEL_x,R_HEEL_y,R_HEEL_z,L_HEEL_x,L_HEEL_y,L_HEEL_z,R_TOE_x,R_TOE_y,R_TOE_z,L_TOE_x,L_TOE_y,L_TOE_z
1612.155,568.2525,724.9265,1624.279,349.5925,729.5585,1596.8895,601.654,561.0535,1601.161,322.0955,575.5225,3098.7124999999996,1164.493,873.8040000000001,3125.4915,676.6025,891.9105,1590.1945,547.6815,493.6155,1597.0495,385.688,488.7265,3254.0745,1058.1509999999998,459.8265,3272.4855,806.338,478.004,3291.331,1049.7865,80.94550000000001,3292.3,811.591,80.15950000000001,3368.784,1051.71,46.684,3359.3,808.523,42.422,3178.6904999999997,1081.367,37.931,3171.9610000000002,777.03,37.244
1612.0805,568.248,724.8975,1624.2295,349.5635,729.55,1596.806,601.654,560.985,1601.0685,322.0515,575.4985,3098.3835,1164.433,873.7940000000001,3125.37,676.5395000000001,891.8865,1590.234,547.661,493.569,1597.0705,385.6245,488.5855,3254.1625,1058.0985,459.69849999999997,3272.5015,806.3275,477.963,3291.3445,1049.766,80.885,3292.2685,811.5575,80.12299999999999,3368.791,1051.645,46.66,3359.266,808.428,42.329,3178.675,1081.3225,37.7455,3171.9685,777.0250000000001,37.126999999999995
1612.0615,568.2035,724.8465,1624.188,349.553,729.5235,1596.738,601.632,560.949,1601.056,322.0015,575.467,3098.2325,1164.431,873.7755,3125.261,676.4375,891.739,1590.174,547.6555,493.5385,1597.03,385.6145,488.578,3254.165,1058.0875,459.64300000000003,3272.579,806.2860000000001,477.83799999999997,3291.2934999999998,1049.692,80.757,3292.256,811.55,80.105,3368.717,1051.595,46.619,3359.269,808.428,42.334,3178.6189999999997,1081.316,37.717,3171.9765,776.9784999999999,36.94
1611.992,568.2345,724.795,1624.0915,349.5115,729.5185,1596.622,601.69,560.9535,1601.0135,322.0015,575.436,3097.907,1164.394,873.665,3125.196,676.4214999999999,891.7660000000001,1590.197,547.6395,493.4935,1597.0275,385.582,488.527,3254.103,1058.0765000000001,459.555,3272.5645,806.2719999999999,477.61699999999996,3291.325,1049.691,80.6265,3292.1760000000004,811.5630000000001,79.9795,3368.787,1051.709,46.687,3359.272,808.499,42.296,3178.6575000000003,1081.288,37.6265,3171.846,777.0315,36.907000000000004
1611.9455,568.22,724.7675,1624.0755,349.5025,729.501,1596.521,601.6625,560.912,1600.941,321.9835,575.4175,3097.6715000000004,1164.366,873.673,3125.132,676.375,891.686,1590.1995,547.64,493.445,1596.998,385.599,488.533,3254.0640000000003,1058.056,459.5105,3272.563,806.2660000000001,477.58299999999997,3292.0505,1050.211,80.19,3292.2169999999996,811.5345,79.964,3368.765,1051.694,46.659,3357.351,798.576,46.318,3178.672,1081.3155,37.463,3171.864,777.0395000000001,36.8575
1611.899,568.2345,724.7605,1624.015,349.503,729.511,1596.4235,601.6825,560.9065,1600.904,321.959,575.4425,3097.3865,1164.3609999999999,873.781,3125.022,676.3924999999999,891.8019999999999,1590.1335,547.637,493.477,1596.999,385.597,488.5325,3253.889,1058.124,459.65999999999997,3272.572,806.29,477.6295,3291.306,1049.686,80.525,3292.1955,811.5854999999999,80.012,3368.715,1051.78,46.715,3359.488,809.123,42.139,3178.7039999999997,1081.3274999999999,37.4445,3171.779,777.0735,36.9315
1611.855,568.2305,724.771,1623.9555,349.518,729.5375,1596.3345,601.6865,560.9345,1600.884,321.96,575.468,3097.1165,1164.3560000000002,873.921,3124.8725000000004,676.3544999999999,891.9225,1590.2075,547.6315,493.469,1596.9695,385.6115,488.5575,3253.884,1058.125,459.699,3272.568,806.357,477.7475,3292.062,1050.2559999999999,80.20150000000001,3292.221,811.5955,80.027,3368.678,1052.012,46.7,3357.57,799.156,46.162,3178.7485,1081.328,37.484,3171.8575,777.0550000000001,36.981
1611.822,568.2455,724.7955,1624.01,349.593,729.575,1596.2815,601.6905,560.96,1600.8455,321.9735,575.4955,3096.9265,1164.404,874.017,3124.876,676.432,891.9495,1590.102,547.6485,493.5195,1596.9995,385.593,488.5685,3253.8335,1058.1515,459.7305,3272.5715,806.338,477.70799999999997,3292.172,1050.251,80.27000000000001,3292.2025000000003,811.6275,80.0995,3368.682,1052.004,46.709,3359.392,809.18,42.231,3178.7505,1081.3995,37.680499999999995,3171.8334999999997,777.115,37.181
1611.7795,568.247,724.8665,1623.9335,349.5965,729.611,1596.199,601.7055,560.994,1600.813,321.9595,575.528,3096.749,1164.42,874.1495,3124.8109999999997,676.452,892.0315,1590.1125,547.651,493.567,1596.927,385.599,488.5925,3253.8165,1058.1505,459.81100000000004,3272.6025,806.4085,478.067,3291.3605,1049.7665000000002,80.6945,3292.2605,811.6605,80.129,3368.688,1052.081,46.754,3359.24,808.31,42.565,3178.7635,1081.3829999999998,37.749,3171.9355,777.0740000000001,37.271
1611.71,568.278,724.9245,1623.7735,349.607,729.6005,1596.1415,601.681,560.9905,1600.7385,321.97,575.571,3096.4995,1164.44,874.238,3124.8105,676.521,892.092,1590.0645,547.6765,493.6265,1596.851,385.6555,488.731,3253.8109999999997,1058.184,459.8515,3272.5744999999997,806.421,478.1275,3292.1305,1050.3455,80.53450000000001,3292.2155000000002,811.6765,80.2065,3368.694,1051.955,46.694,3359.235,808.603,42.45,3178.7785000000003,1081.382,37.8225,3171.9184999999998,777.0605,37.278499999999994
