R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,R_WRIST_x,R_WRIST_y,R_WRIST_z,L_WRIST_x,L_WRIST_y,L_WRIST_z,R_HIP_x,R_HIP_y,R_HIP_z,L_HIP_x,L_HIP_y,L_HIP_z,R_KNEE_x,R_KNEE_y,R_KNEE_z,L_KNEE_x,L_KNEE_y,L_KNEE_z,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,R_HEEL_x,R_HEEL_y,R_HEEL_z,L_HEEL_x,L_HEEL_y,L_HEEL_z,R_TOE_x,R_TOE_y,R_TOE_z,L_TOE_x,L_TOE_y,L_TOE_z
469.15250000000003,-1390.2555,1445.3815,138.952,-1398.795,1453.3535000000002,547.424,-1328.702,1104.6689999999999,59.5135,-1324.7745,1131.3184999999999,564.1295,-1195.6925,870.942,48.223,-1204.644,887.0464999999999,409.653,-1359.9175,985.211,233.46800000000002,-1368.673,980.3865000000001,430.6915,-1348.29,451.8505,198.664,-1365.1235,469.683,414.26599999999996,-1383.665,72.42750000000001,207.3675,-1386.6775,72.19200000000001,415.658,-1457.618,38.16,199.332,-1455.345,34.29,438.538,-1269.2505,29.7815,182.24599999999998,-1263.5615,28.5255
469.165,-1390.183,1445.4195,138.938,-1398.7105000000001,1453.41,547.447,-1328.6815000000001,1104.6975,59.524499999999996,-1324.699,1131.4005,564.146,-1195.7,870.9365,48.1925,-1204.75,887.087,409.6515,-1359.9234999999999,985.2255,233.4845,-1368.666,980.37,430.704,-1348.2485000000001,451.884,198.65750000000003,-1365.0475000000001,469.7215,414.2545,-1383.6734999999999,72.46000000000001,207.385,-1386.5875,72.247,415.631,-1457.581,38.189,199.319,-1455.378,34.375,438.53150000000005,-1269.216,29.832500000000003,182.24849999999998,-1263.5805,28.57
469.21549999999996,-1390.1015,1445.5005,138.9875,-1398.5810000000001,1453.4895000000001,547.478,-1328.6055000000001,1104.769,59.524,-1324.594,1131.518,564.185,-1195.7365,870.9085,48.13849999999999,-1204.698,887.098,409.6515,-1359.866,985.2475,233.42700000000002,-1368.6305,980.3879999999999,430.5245,-1348.1889999999999,451.9735,198.64749999999998,-1364.8384999999998,469.73699999999997,414.26750000000004,-1383.6315,72.54599999999999,207.376,-1386.4615,72.3105,415.649,-1457.514,38.228,199.325,-1455.278,34.702,438.55449999999996,-1269.225,29.944,182.233,-1263.516,28.6085
469.24,-1389.973,1445.5545,139.022,-1398.343,1453.614,547.5315,-1328.5835,1104.818,59.5095,-1324.4875,1131.6105,564.2135000000001,-1195.702,870.8905,48.096999999999994,-1204.738,887.1389999999999,409.6755,-1359.88,985.2484999999999,233.493,-1368.694,980.371,430.5025,-1348.1599999999999,452.0825,198.888,-1364.9344999999998,470.087,414.2545,-1383.53,72.62950000000001,207.411,-1386.203,72.25999999999999,415.627,-1457.466,38.288,199.314,-1455.224,34.589,438.5825,-1269.1795,29.988999999999997,182.2585,-1263.492,28.6435
469.2565,-1389.8795,1445.6235000000001,139.033,-1398.2295,1453.687,547.544,-1328.5059999999999,1104.874,59.554500000000004,-1324.3775,1131.7265,564.2629999999999,-1195.7069999999999,870.8695,48.081,-1204.6895,887.186,409.6435,-1359.817,985.2909999999999,233.456,-1368.6325000000002,980.403,430.54049999999995,-1348.087,452.1365,198.9005,-1364.8555000000001,470.148,414.24199999999996,-1383.484,72.7295,207.41699999999997,-1386.038,72.3125,415.625,-1457.425,38.371,199.32,-1455.169,34.754,438.61350000000004,-1269.15,30.088,182.2665,-1263.441,28.761000000000003
469.2965,-1389.8335,1445.6415,139.106,-1398.1605,1453.7655,547.582,-1328.4845,1104.885,59.5035,-1324.3110000000001,1131.7359999999999,564.305,-1195.73,870.7995,47.966,-1204.3519999999999,887.25,409.63800000000003,-1359.7955,985.2815,233.4805,-1368.6284999999998,980.435,430.48850000000004,-1348.067,452.1615,198.901,-1364.894,470.2015,414.2475,-1383.484,72.7435,207.431,-1385.992,72.325,415.619,-1457.351,38.404,199.306,-1455.155,34.837,438.5885,-1269.0810000000001,30.089,182.2835,-1263.406,28.7485
469.3485,-1389.7745,1445.653,139.12800000000001,-1398.096,1453.766,547.5995,-1328.5055,1104.8975,59.486000000000004,-1324.276,1131.7975,564.3505,-1195.7820000000002,870.7964999999999,47.955000000000005,-1204.6509999999998,887.251,409.6625,-1359.819,985.289,233.494,-1368.6105,980.4014999999999,430.505,-1348.092,452.137,198.9115,-1364.908,470.19550000000004,414.2475,-1383.482,72.71549999999999,207.434,-1386.049,72.3345,415.632,-1457.426,38.391,199.353,-1455.171,34.852,438.61350000000004,-1269.12,30.101499999999998,182.29149999999998,-1263.4385,28.774
469.38149999999996,-1389.741,1445.6109999999999,139.15550000000002,-1398.0735,1453.7565,547.6555,-1328.531,1104.8375,59.4685,-1324.263,1131.714,564.361,-1195.8225,870.759,47.92,-1204.703,887.2475,409.6385,-1359.8155,985.281,233.4585,-1368.599,980.413,430.524,-1348.094,452.014,198.6425,-1364.547,469.9365,414.262,-1383.5365,72.6605,207.3875,-1386.204,72.30699999999999,415.63,-1457.436,38.299,199.304,-1455.189,34.777,438.602,-1269.1365,29.9895,182.264,-1263.4575,28.708
469.418,-1389.6689999999999,1445.557,139.188,-1398.0785,1453.709,547.6755,-1328.5955,1104.8355000000001,59.431999999999995,-1324.3355000000001,1131.653,564.401,-1195.862,870.721,47.811,-1204.3635,887.858,409.62649999999996,-1359.8425,985.2805000000001,233.46550000000002,-1368.6129999999998,980.4455,430.52049999999997,-1348.1585,451.976,198.5915,-1364.7305000000001,469.92600000000004,414.26800000000003,-1383.623,72.66550000000001,207.40300000000002,-1386.3519999999999,72.269,415.624,-1457.471,38.244,199.309,-1455.208,34.642,438.6,-1269.158,29.914,182.25549999999998,-1263.448,28.560000000000002
469.45899999999995,-1389.649,1445.4775,139.2025,-1398.1055000000001,1453.69,547.7370000000001,-1328.664,1104.7145,59.407000000000004,-1324.4825,1131.658,564.412,-1195.922,870.7194999999999,47.763999999999996,-1204.4405000000002,887.846,409.63300000000004,-1359.8585,985.238,233.4665,-1368.6815,980.47,430.582,-1348.266,451.947,198.6015,-1364.8355,469.8615,414.2425,-1383.603,72.483,207.3635,-1386.5825,72.2655,415.65,-1457.549,38.191,199.316,-1455.319,34.604,438.539,-1269.2785,29.8955,182.2505,-1263.5045,28.567999999999998
