R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,R_WRIST_x,R_WRIST_y,R_WRIST_z,L_WRIST_x,L_WRIST_y,L_WRIST_z,R_HIP_x,R_HIP_y,R_HIP_z,L_HIP_x,L_HIP_y,L_HIP_z,R_KNEE_x,R_KNEE_y,R_KNEE_z,L_KNEE_x,L_KNEE_y,L_KNEE_z,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,R_HEEL_x,R_HEEL_y,R_HEEL_z,L_HEEL_x,L_HEEL_y,L_HEEL_z,R_TOE_x,R_TOE_y,R_TOE_z,L_TOE_x,L_TOE_y,L_TOE_z
1662.7265,609.089,671.342,1683.402,440.067,672.6875,1655.5955,645.6515,515.2445,1672.8835,405.143,510.381,3258.273,1283.1970000000001,787.1714999999999,3274.868,825.251,795.1295,1631.9625,586.5785,452.722,1637.5115,462.613,452.3435,1663.543,600.9975,228.214,3349.267,997.8225,445.086,1670.5915,575.2055,33.349,1667.3315,480.391,32.1075,0.0,0.0,0.0,0.0,0.0,0.0,3213.6075,1134.048,46.9845,3203.9849999999997,975.4159999999999,42.849999999999994
1663.0265,609.0305,671.3985,1683.1305,440.02,672.7225,1655.8475,646.1635,515.272,1672.585,404.4185,510.488,3256.686,1283.2545,787.671,3273.9210000000003,821.6265,795.5165,1631.728,586.52,452.6635,1637.1615,462.555,452.367,1663.355,601.004,228.253,3348.7995,997.8095,445.18600000000004,1670.6125,575.1965,33.365,1667.347,480.3835,32.1005,0.0,0.0,0.0,0.0,0.0,0.0,3213.8555,1134.058,47.301,3203.9945,975.5550000000001,42.939499999999995
1663.246,609.015,671.406,1682.9345,439.9745,672.8555,1655.051,646.57,515.652,1672.324,403.9555,510.66,3253.6255,1284.7795,788.7094999999999,3273.802,821.0245,795.8810000000001,1631.4465,586.4435,452.6885,1636.797,462.5025,452.3885,1663.1695,600.9425,228.275,3348.4494999999997,997.737,445.22,1670.6285,575.2165,33.361,1667.3635,480.3835,32.071,0.0,0.0,0.0,0.0,0.0,0.0,3213.6400000000003,1134.063,47.519,3204.059,975.5705,42.986000000000004
1663.449,608.985,671.4625,1682.591,439.893,672.685,1654.7495,646.9225,515.757,1672.082,403.503,511.084,3252.1454999999996,1284.9435,789.1465000000001,3272.9605,817.572,796.2005,1631.184,586.424,452.735,1636.443,462.4405,452.3995,1662.9295,600.886,228.2805,3348.0434999999998,997.6025,445.13599999999997,1670.888,575.6665,33.8065,1667.3805,480.425,32.0985,0.0,0.0,0.0,0.0,0.0,0.0,3214.1355,1133.8899999999999,47.6205,3204.0245,975.6565,43.075
1663.6495,608.969,671.4285,1682.3365,439.8525,672.6795,1654.478,647.135,515.863,1671.578,402.8755,511.0595,3249.2965,1286.2849999999999,789.8765000000001,3272.815,816.876,796.2860000000001,1630.593,586.5635,452.9895,1636.03,462.398,452.409,1663.318,600.8115,227.9255,3347.733,997.4884999999999,444.97950000000003,1670.918,575.706,33.832,1667.3575,480.4085,32.1025,0.0,0.0,0.0,0.0,0.0,0.0,3214.1814999999997,1133.864,47.7445,3204.0905000000002,975.6804999999999,43.2245
1663.819,608.9375,671.4205,1682.056,439.809,672.7165,1654.1555,647.396,515.986,1671.3865,402.3305,511.3985,3247.1724999999997,1287.2385,790.534,3271.9035,813.4555,796.9225,1630.1015,586.3635,453.0405,1635.478,462.3765,452.479,1663.092,600.7515,227.931,3347.2105,997.4200000000001,445.1585,1670.8935,575.6945,33.8235,1667.3875,480.391,32.134,0.0,0.0,0.0,0.0,0.0,0.0,3214.2555,1133.7085,47.744,3204.27,975.5915,43.0505
1663.9635,608.92,671.485,1681.765,439.762,672.7245,1653.6865,647.762,516.1225,1671.082,401.8405,511.4885,3244.777,1288.2910000000002,791.328,3271.7129999999997,813.1545000000001,796.748,1629.8775,586.391,453.0895,1635.1025,462.395,452.5185,1662.139,600.6235,228.2845,3346.6655,997.232,445.1865,1670.8635,575.657,33.8255,1667.3755,480.41,32.101,0.0,0.0,0.0,0.0,0.0,0.0,3214.3365,1133.6635,47.7405,3204.1899999999996,975.6804999999999,43.1135
1664.1195,608.903,671.4325,1681.542,439.735,672.754,1653.2165,647.9765,516.233,1670.5945,401.299,511.708,3242.2794999999996,1289.6855,791.901,3271.2465,811.357,796.822,1629.6145,586.4235,453.111,1634.8095,462.384,452.468,1661.9045,600.5415,228.313,3346.246,997.1235,445.222,1670.8985,575.6025,33.8185,1667.361,480.414,32.118,0.0,0.0,0.0,0.0,0.0,0.0,3214.3064999999997,1133.6805,47.626999999999995,3204.1679999999997,975.6655000000001,43.13
1664.8355,608.965,671.4265,1681.2735,439.6645,672.7745,1652.85,648.2255,516.2965,1670.1785,400.9075,511.8855,3239.9565000000002,1290.745,792.4780000000001,3270.63,809.5889999999999,797.0765,1629.3935,586.4685,453.1385,1634.2905,462.444,452.62,1661.695,600.4595,228.339,3345.7955,997.026,445.3045,1670.8775,575.624,33.8165,1667.365,480.4075,32.095,0.0,0.0,0.0,0.0,0.0,0.0,3214.3465,1133.6505000000002,47.6505,3204.2929999999997,975.7135000000001,43.129999999999995
1664.998,608.9615,671.421,1681.016,439.5895,672.826,1652.3765,648.3575,516.4765,1669.85,400.616,511.8935,3237.746,1292.01,793.1510000000001,3270.1130000000003,807.828,797.281,1629.1185,586.529,453.1635,1633.777,462.5275,452.7065,1661.552,600.426,228.3395,3345.4295,996.9855,445.2675,1670.5755,575.0805,33.4305,1667.3075,480.394,32.118,0.0,0.0,0.0,0.0,0.0,0.0,3214.393,1133.681,47.701,3204.2495,975.7735,43.10850000000001
1665.1255,608.968,671.4125,1680.7865,439.5275,672.846,1651.9555,648.566,516.637,1669.481,400.1535,512.1055,3235.303,1293.3055,793.8344999999999,3269.3230000000003,804.6445,797.844,1629.2705,586.652,453.054,1633.3815,462.5595,452.7585,1661.3845,600.4015,228.356,3344.9759999999997,996.9645,445.35450000000003,1670.5785,575.0625,33.439,1667.3635,480.425,32.101,0.0,0.0,0.0,0.0,0.0,0.0,3214.4605,1133.725,47.777,3204.1369999999997,975.8235,43.147999999999996
1665.259,608.9565,671.3995,1680.595,439.499,672.8695,1651.4845,648.808,516.7595,1668.9895,399.6795,512.1865,3233.293,1294.3564999999999,794.322,3269.154,804.7405,797.677,1629.041,586.6845,453.098,1633.0035,462.553,452.8065,1661.2425,600.3735,228.382,3344.4205,996.9390000000001,445.3155,1670.565,575.059,33.4325,1667.311,480.4235,32.1095,0.0,0.0,0.0,0.0,0.0,0.0,3214.501,1133.8,47.8825,3204.1755000000003,975.8495,43.1755
1665.354,608.986,671.388,1680.3435,439.462,672.892,1651.0395,648.9845,516.8895,1668.655,399.3235,512.248,3231.091,1295.6425,794.9575,3268.51,802.8779999999999,798.0405000000001,1628.495,586.8285,453.3065,1632.627,462.5385,452.8575,1661.0795,600.374,228.3975,3343.783,996.9365,445.3775,1670.9145,575.5385,33.8365,1667.2785,480.4085,32.121,0.0,0.0,0.0,0.0,0.0,0.0,3214.2349999999997,1133.97,48.0345,3204.1715,975.8145,42.9985
1665.429,609.003,671.4005,1680.1885,439.4585,672.886,1650.644,649.1195,517.0085,1668.39,399.126,512.5135,3228.9345000000003,1296.7735,795.5695000000001,3267.594,800.123,798.6375,1628.243,586.843,453.3425,1632.1965,462.512,452.9755,1660.9505,600.368,228.428,3343.2304999999997,996.9300000000001,445.4515,1670.9475,575.563,33.8435,1667.2735,480.4215,32.1145,0.0,0.0,0.0,0.0,0.0,0.0,3214.3035,1134.0025,48.078500000000005,3204.2495,975.852,42.9755
1665.5035,609.006,671.408,1680.071,439.4945,673.1285,1650.186,649.2495,517.1785,1667.973,398.8145,512.676,3226.84,1297.9315000000001,796.2135000000001,3267.2934999999998,800.0935,798.2465,1628.0085,586.7965,453.358,1631.744,462.4365,452.994,1660.8225,600.3675,228.4415,3342.633,996.8890000000001,445.4655,1671.0005,575.5645,33.8565,1667.2965,480.4535,32.105,0.0,0.0,0.0,0.0,0.0,0.0,3214.3509999999997,1134.0525,48.153999999999996,3204.186,975.9165,42.9315
1665.5475,609.0305,671.422,1679.8855,439.5065,673.1455,1650.297,649.4785,517.141,1667.472,398.5615,512.834,3224.8445,1299.0555,796.8644999999999,3266.6755,798.7945,798.587,1627.458,586.543,453.3965,1631.478,462.389,453.023,1660.6295,600.329,228.4135,3342.0265,996.829,445.52700000000004,1670.976,575.557,33.8785,1667.263,480.431,32.1205,0.0,0.0,0.0,0.0,0.0,0.0,3214.4235,1134.0765000000001,48.196,3204.1745,975.9115,42.912
1665.045,608.953,671.446,1679.6675,439.4685,673.013,1649.28,649.5815,517.4045,1666.9995,398.2525,512.7615,3222.801,1300.2069999999999,797.6465000000001,3265.898,796.5450000000001,799.1775,1627.218,586.486,453.4215,1631.0545,462.3485,453.06,1660.3745,600.2645,228.407,3341.4494999999997,996.7975,445.602,1670.995,575.54,33.877,1667.2005,480.4535,32.1345,0.0,0.0,0.0,0.0,0.0,0.0,3214.4695,1134.0695,48.275999999999996,3204.1279999999997,975.8605,42.823499999999996
